Tissue,Average_RMA,Transporter
spleen,2.2797528,SLC22A2
placenta,2.273205082,SLC22A2
thyroid gland,2.271086429,SLC22A2
prostate gland,2.26989,SLC22A2
cerebral cortex,2.263379333,SLC22A2
cervical epithelium,2.26015,SLC22A2
uterus,2.228416667,SLC22A2
urinary bladder,2.2270915,SLC22A2
seminal vesicle,2.200055,SLC22A2
lung,2.187444539,SLC22A2
kidney,9.416470417,SLC22A6
heart,5.2207,SLC22A6
spinal cord,3.830064412,SLC22A6
prefrontal cortex,3.506558333,SLC22A6
esophagus,3.30901,SLC22A6
cardia,3.229956667,SLC22A6
aorta,3.2005475,SLC22A6
salivary gland,3.187281667,SLC22A6
brain,3.12584097,SLC22A6
lymph node,3.0562175,SLC22A6
spleen,3.0289144,SLC22A6
pancreas,3.015034,SLC22A6
tonsil,2.96952625,SLC22A6
spermatozoon,2.78251,SLC22A6
thyroid gland,2.754556071,SLC22A6
liver,2.745430556,SLC22A6
adrenal gland,2.730179,SLC22A6
stomach,2.670285625,SLC22A6
cerebral cortex,2.628634833,SLC22A6
skin,2.608002646,SLC22A6
myometrium,2.593711774,SLC22A6
uterine cervix,2.592251071,SLC22A6
prostate gland,2.558012471,SLC22A6
colon,2.511676667,SLC22A6
uterus,2.50523,SLC22A6
testis,2.484236098,SLC22A6
placenta,2.400963197,SLC22A6
urinary bladder,2.400303,SLC22A6
hair follicle,2.310051667,SLC22A6
seminal vesicle,2.29965375,SLC22A6
cervical epithelium,2.294789091,SLC22A6
pancreatic islet,2.287205,SLC22A6
lung,2.268904507,SLC22A6
liver,8.146482063,SLC22A7
kidney,6.830303521,SLC22A7
heart,5.808129905,SLC22A7
adrenal gland,3.138709333,SLC22A7
pancreatic islet,3.134654242,SLC22A7
stomach,3.132778333,SLC22A7
spleen,3.10521542,SLC22A7
cervical epithelium,3.003250455,SLC22A7
uterine cervix,3.001751429,SLC22A7
spinal cord,2.982821778,SLC22A7
uterus,2.971572,SLC22A7
brain,2.942283249,SLC22A7
lymph node,2.922332,SLC22A7
thyroid gland,2.890659259,SLC22A7
salivary gland,2.888706,SLC22A7
colon,2.812515759,SLC22A7
cardia,2.78962,SLC22A7
pancreas,2.779095194,SLC22A7
myometrium,2.773078946,SLC22A7
esophagus,2.763396,SLC22A7
prefrontal cortex,2.763347474,SLC22A7
aorta,2.746282,SLC22A7
hair follicle,2.715421667,SLC22A7
spermatozoon,2.7139134,SLC22A7
cerebral cortex,2.707567931,SLC22A7
testis,2.685874489,SLC22A7
tonsil,2.680997,SLC22A7
skin,2.671620432,SLC22A7
placenta,2.595271843,SLC22A7
seminal vesicle,2.5730355,SLC22A7
urinary bladder,2.5685877,SLC22A7
prostate gland,2.546302464,SLC22A7
lung,2.535068581,SLC22A7
kidney,10.16641085,SLC22A8
heart,5.8358975,SLC22A8
hair follicle,3.794390833,SLC22A8
spinal cord,3.794145333,SLC22A8
uterus,3.6606475,SLC22A8
lymph node,3.324884167,SLC22A8
spleen,3.249270217,SLC22A8
tonsil,3.155373125,SLC22A8
salivary gland,3.113874,SLC22A8
adrenal gland,3.101196875,SLC22A8
stomach,2.999961875,SLC22A8
cardia,2.950883333,SLC22A8
aorta,2.9391925,SLC22A8
thyroid gland,2.936721481,SLC22A8
esophagus,2.91638,SLC22A8
prostate gland,2.903771444,SLC22A8
brain,2.899537222,SLC22A8
skin,2.895781995,SLC22A8
pancreas,2.868662083,SLC22A8
pancreatic islet,2.805925455,SLC22A8
testis,2.803134,SLC22A8
myometrium,2.727195161,SLC22A8
liver,2.712467292,SLC22A8
prefrontal cortex,2.640535124,SLC22A8
colon,2.607247917,SLC22A8
placenta,2.535863382,SLC22A8
uterine cervix,2.508923214,SLC22A8
cerebral cortex,2.505483793,SLC22A8
cervical epithelium,2.498619091,SLC22A8
urinary bladder,2.42606625,SLC22A8
lung,2.41829322,SLC22A8
seminal vesicle,2.36367125,SLC22A8
spermatozoon,2.3422875,SLC22A8
heart,5.30582,SLC22A9
liver,5.127836271,SLC22A9
adrenal gland,2.906833333,SLC22A9
spinal cord,2.888346364,SLC22A9
pancreas,2.770363333,SLC22A9
spleen,2.672056154,SLC22A9
spermatozoon,2.597171,SLC22A9
prostate gland,2.392529452,SLC22A9
pancreatic islet,2.37667,SLC22A9
kidney,2.371785476,SLC22A9
brain,2.3675205,SLC22A9
stomach,2.3280975,SLC22A9
cardia,2.31909,SLC22A9
uterine cervix,2.31909,SLC22A9
uterus,2.31909,SLC22A9
aorta,2.31909,SLC22A9
esophagus,2.31909,SLC22A9
lymph node,2.31909,SLC22A9
salivary gland,2.31909,SLC22A9
prefrontal cortex,2.316641163,SLC22A9
thyroid gland,2.297044,SLC22A9
placenta,2.287597857,SLC22A9
myometrium,2.284375946,SLC22A9
tonsil,2.2798025,SLC22A9
skin,2.267746923,SLC22A9
cerebral cortex,2.266379655,SLC22A9
testis,2.249532571,SLC22A9
urinary bladder,2.21955,SLC22A9
colon,2.217972667,SLC22A9
